rssi,Time
-63,2022-09-04 08:39:30.015
-63,2022-09-04 08:39:30.036
-60,2022-09-04 08:39:30.065
-63,2022-09-04 08:39:30.088
-60,2022-09-04 08:39:30.117
-63,2022-09-04 08:39:30.140
-63,2022-09-04 08:39:30.163
-63,2022-09-04 08:39:30.190
-60,2022-09-04 08:39:30.212
-63,2022-09-04 08:39:30.234
-63,2022-09-04 08:39:30.259
-63,2022-09-04 08:39:30.284
-62,2022-09-04 08:39:30.307
-62,2022-09-04 08:39:30.333
-62,2022-09-04 08:39:30.388
-62,2022-09-04 08:39:30.413
-61,2022-09-04 08:39:30.442
-61,2022-09-04 08:39:30.466
-62,2022-09-04 08:39:30.492
-63,2022-09-04 08:39:30.520
-60,2022-09-04 08:39:30.550
-64,2022-09-04 08:39:30.579
-64,2022-09-04 08:39:30.603
-64,2022-09-04 08:39:30.653
-64,2022-09-04 08:39:30.677
-64,2022-09-04 08:39:30.703
-64,2022-09-04 08:39:30.750
-63,2022-09-04 08:39:30.777
-59,2022-09-04 08:39:30.805
-63,2022-09-04 08:39:30.830
-63,2022-09-04 08:39:30.852
-63,2022-09-04 08:39:30.881
-63,2022-09-04 08:39:30.909
-63,2022-09-04 08:39:30.933
-63,2022-09-04 08:39:30.953
-64,2022-09-04 08:39:31.004
-59,2022-09-04 08:39:31.025
-63,2022-09-04 08:39:31.050
-63,2022-09-04 08:39:31.075
-63,2022-09-04 08:39:31.103
-65,2022-09-04 08:39:31.127
-60,2022-09-04 08:39:31.154
-65,2022-09-04 08:39:31.210
-64,2022-09-04 08:39:31.235
-63,2022-09-04 08:39:31.261
-64,2022-09-04 08:39:31.285
-64,2022-09-04 08:39:31.315
-60,2022-09-04 08:39:31.341
-64,2022-09-04 08:39:31.363
-64,2022-09-04 08:39:31.388
-60,2022-09-04 08:39:31.415
-63,2022-09-04 08:39:31.438
-64,2022-09-04 08:39:31.458
-64,2022-09-04 08:39:31.482
-59,2022-09-04 08:39:31.507
-63,2022-09-04 08:39:31.527
-63,2022-09-04 08:39:31.553
-60,2022-09-04 08:39:31.575
-60,2022-09-04 08:39:31.596
-59,2022-09-04 08:39:31.619
-64,2022-09-04 08:39:31.642
-63,2022-09-04 08:39:31.729
-60,2022-09-04 08:39:31.752
-63,2022-09-04 08:39:31.780
-60,2022-09-04 08:39:31.806
-64,2022-09-04 08:39:31.830
-65,2022-09-04 08:39:31.857
-65,2022-09-04 08:39:31.884
-64,2022-09-04 08:39:31.913
-64,2022-09-04 08:39:31.994
-63,2022-09-04 08:39:32.017
-63,2022-09-04 08:39:32.038
-64,2022-09-04 08:39:32.058
-60,2022-09-04 08:39:32.087
-64,2022-09-04 08:39:32.109
-60,2022-09-04 08:39:32.134
-63,2022-09-04 08:39:32.156
-63,2022-09-04 08:39:32.183
-64,2022-09-04 08:39:32.208
-63,2022-09-04 08:39:32.261
-63,2022-09-04 08:39:32.287
-62,2022-09-04 08:39:32.312
-64,2022-09-04 08:39:32.334
-64,2022-09-04 08:39:32.359
-61,2022-09-04 08:39:32.383
-65,2022-09-04 08:39:32.405
-64,2022-09-04 08:39:32.429
-64,2022-09-04 08:39:32.455
-59,2022-09-04 08:39:32.481
-65,2022-09-04 08:39:32.508
-66,2022-09-04 08:39:32.531
-60,2022-09-04 08:39:32.553
-62,2022-09-04 08:39:32.572
-64,2022-09-04 08:39:32.617
-63,2022-09-04 08:39:32.637
-65,2022-09-04 08:39:32.686
-67,2022-09-04 08:39:32.713
-60,2022-09-04 08:39:32.735
-66,2022-09-04 08:39:32.809
-63,2022-09-04 08:39:32.833
-60,2022-09-04 08:39:32.886
-64,2022-09-04 08:39:32.908
-65,2022-09-04 08:39:32.931
-65,2022-09-04 08:39:32.953
-67,2022-09-04 08:39:32.976
-69,2022-09-04 08:39:33.004
-65,2022-09-04 08:39:33.025
-62,2022-09-04 08:39:33.070
-64,2022-09-04 08:39:33.091
-62,2022-09-04 08:39:33.116
-56,2022-09-04 08:39:33.145
-61,2022-09-04 08:39:33.193
-61,2022-09-04 08:39:33.216
-61,2022-09-04 08:39:33.239
-62,2022-09-04 08:39:33.268
-62,2022-09-04 08:39:33.290
-60,2022-09-04 08:39:33.318
-65,2022-09-04 08:39:33.339
-66,2022-09-04 08:39:33.366
-67,2022-09-04 08:39:33.396
-72,2022-09-04 08:39:33.438
-74,2022-09-04 08:39:33.458
-72,2022-09-04 08:39:33.478
-73,2022-09-04 08:39:33.506
-69,2022-09-04 08:39:33.529
-72,2022-09-04 08:39:33.552
-68,2022-09-04 08:39:33.582
-71,2022-09-04 08:39:33.606
-69,2022-09-04 08:39:33.637
-70,2022-09-04 08:39:33.665
-69,2022-09-04 08:39:33.693
-67,2022-09-04 08:39:33.723
-68,2022-09-04 08:39:33.746
-69,2022-09-04 08:39:33.770
-68,2022-09-04 08:39:33.796
-63,2022-09-04 08:39:33.821
-65,2022-09-04 08:39:33.843
-64,2022-09-04 08:39:33.865
-61,2022-09-04 08:39:33.894
-60,2022-09-04 08:39:33.944
-63,2022-09-04 08:39:33.973
-64,2022-09-04 08:39:33.995
-61,2022-09-04 08:39:34.025
-64,2022-09-04 08:39:34.045
-60,2022-09-04 08:39:34.071
-62,2022-09-04 08:39:34.093
-62,2022-09-04 08:39:34.116
-64,2022-09-04 08:39:34.142
-60,2022-09-04 08:39:34.167
-63,2022-09-04 08:39:34.195
-61,2022-09-04 08:39:34.225
-65,2022-09-04 08:39:34.252
-61,2022-09-04 08:39:34.277
-63,2022-09-04 08:39:34.297
-63,2022-09-04 08:39:34.326
-65,2022-09-04 08:39:34.349
-60,2022-09-04 08:39:34.374
-65,2022-09-04 08:39:34.401
-64,2022-09-04 08:39:34.428
-64,2022-09-04 08:39:34.451
-63,2022-09-04 08:39:34.504
-58,2022-09-04 08:39:34.531
-62,2022-09-04 08:39:34.560
-63,2022-09-04 08:39:34.639
-63,2022-09-04 08:39:34.663
-63,2022-09-04 08:39:34.685
-65,2022-09-04 08:39:34.736
-65,2022-09-04 08:39:34.759
-64,2022-09-04 08:39:34.789
-63,2022-09-04 08:39:34.818
-65,2022-09-04 08:39:34.838
-64,2022-09-04 08:39:34.865
-66,2022-09-04 08:39:34.894
-64,2022-09-04 08:39:34.922
-65,2022-09-04 08:39:34.943
-64,2022-09-04 08:39:34.967
-67,2022-09-04 08:39:34.990
-65,2022-09-04 08:39:35.017
-66,2022-09-04 08:39:35.041
-63,2022-09-04 08:39:35.061
-66,2022-09-04 08:39:35.083
-63,2022-09-04 08:39:35.107
-63,2022-09-04 08:39:35.134
-62,2022-09-04 08:39:35.162
-66,2022-09-04 08:39:35.181
-63,2022-09-04 08:39:35.209
-66,2022-09-04 08:39:35.255
-64,2022-09-04 08:39:35.278
-60,2022-09-04 08:39:35.306
-64,2022-09-04 08:39:35.326
-61,2022-09-04 08:39:35.351
-61,2022-09-04 08:39:35.380
-64,2022-09-04 08:39:35.400
-59,2022-09-04 08:39:35.422
-61,2022-09-04 08:39:35.443
-65,2022-09-04 08:39:35.468
-63,2022-09-04 08:39:35.489
-57,2022-09-04 08:39:35.511
-64,2022-09-04 08:39:35.537
-61,2022-09-04 08:39:35.564
-62,2022-09-04 08:39:35.591
-65,2022-09-04 08:39:35.611
-63,2022-09-04 08:39:35.634
-65,2022-09-04 08:39:35.658
-60,2022-09-04 08:39:35.690
-63,2022-09-04 08:39:35.714
-66,2022-09-04 08:39:35.736
-64,2022-09-04 08:39:35.759
-58,2022-09-04 08:39:35.809
-63,2022-09-04 08:39:35.837
-63,2022-09-04 08:39:35.861
-60,2022-09-04 08:39:35.918
-65,2022-09-04 08:39:35.942
-65,2022-09-04 08:39:35.969
-60,2022-09-04 08:39:35.999
-60,2022-09-04 08:39:36.027
-66,2022-09-04 08:39:36.047
-60,2022-09-04 08:39:36.073
-60,2022-09-04 08:39:36.098
-60,2022-09-04 08:39:36.128
-65,2022-09-04 08:39:36.156
-65,2022-09-04 08:39:36.184
-65,2022-09-04 08:39:36.213
-63,2022-09-04 08:39:36.235
-66,2022-09-04 08:39:36.255
-60,2022-09-04 08:39:36.285
-62,2022-09-04 08:39:36.338
-60,2022-09-04 08:39:36.368
-60,2022-09-04 08:39:36.390
-63,2022-09-04 08:39:36.415
-61,2022-09-04 08:39:36.464
-62,2022-09-04 08:39:36.491
-66,2022-09-04 08:39:36.512
-63,2022-09-04 08:39:36.538
-61,2022-09-04 08:39:36.568
-63,2022-09-04 08:39:36.591
-60,2022-09-04 08:39:36.646
-63,2022-09-04 08:39:36.674
-63,2022-09-04 08:39:36.697
-65,2022-09-04 08:39:36.718
-60,2022-09-04 08:39:36.746
-66,2022-09-04 08:39:36.772
-64,2022-09-04 08:39:36.826
-63,2022-09-04 08:39:36.851
-66,2022-09-04 08:39:36.878
-61,2022-09-04 08:39:36.901
-60,2022-09-04 08:39:36.927
-61,2022-09-04 08:39:36.976
-68,2022-09-04 08:39:36.997
-63,2022-09-04 08:39:37.018
-66,2022-09-04 08:39:37.042
-65,2022-09-04 08:39:37.070
-65,2022-09-04 08:39:37.121
-63,2022-09-04 08:39:37.165
-61,2022-09-04 08:39:37.195
-61,2022-09-04 08:39:37.221
-63,2022-09-04 08:39:37.246
-61,2022-09-04 08:39:37.271
-64,2022-09-04 08:39:37.297
-64,2022-09-04 08:39:37.320
-65,2022-09-04 08:39:37.340
-64,2022-09-04 08:39:37.365
-65,2022-09-04 08:39:37.387
-65,2022-09-04 08:39:37.444
-61,2022-09-04 08:39:37.474
-65,2022-09-04 08:39:37.522
-61,2022-09-04 08:39:37.545
-65,2022-09-04 08:39:37.567
-64,2022-09-04 08:39:37.589
-64,2022-09-04 08:39:37.610
-61,2022-09-04 08:39:37.636
-65,2022-09-04 08:39:37.661
-61,2022-09-04 08:39:37.687
-65,2022-09-04 08:39:37.706
-61,2022-09-04 08:39:37.751
-65,2022-09-04 08:39:37.778
-63,2022-09-04 08:39:37.804
-65,2022-09-04 08:39:37.826
-61,2022-09-04 08:39:37.852
-65,2022-09-04 08:39:37.879
-61,2022-09-04 08:39:37.904
-64,2022-09-04 08:39:37.926
-65,2022-09-04 08:39:37.946
-65,2022-09-04 08:39:37.967
-63,2022-09-04 08:39:37.997
-64,2022-09-04 08:39:38.053
-63,2022-09-04 08:39:38.099
-61,2022-09-04 08:39:38.128
-60,2022-09-04 08:39:38.154
-61,2022-09-04 08:39:38.182
-63,2022-09-04 08:39:38.210
-61,2022-09-04 08:39:38.233
-64,2022-09-04 08:39:38.253
-64,2022-09-04 08:39:38.274
-64,2022-09-04 08:39:38.301
-61,2022-09-04 08:39:38.324
-64,2022-09-04 08:39:38.353
-64,2022-09-04 08:39:38.380
-64,2022-09-04 08:39:38.403
-64,2022-09-04 08:39:38.426
-61,2022-09-04 08:39:38.452
-60,2022-09-04 08:39:38.480
-63,2022-09-04 08:39:38.505
-60,2022-09-04 08:39:38.529
-63,2022-09-04 08:39:38.557
-63,2022-09-04 08:39:38.614
-60,2022-09-04 08:39:38.672
-63,2022-09-04 08:39:38.699
-60,2022-09-04 08:39:38.723
-63,2022-09-04 08:39:38.746
-60,2022-09-04 08:39:38.768
-64,2022-09-04 08:39:38.796
-60,2022-09-04 08:39:38.823
-67,2022-09-04 08:39:38.845
-60,2022-09-04 08:39:38.867
-64,2022-09-04 08:39:38.890
-63,2022-09-04 08:39:38.917
-63,2022-09-04 08:39:38.938
-60,2022-09-04 08:39:38.968
-63,2022-09-04 08:39:38.997
-60,2022-09-04 08:39:39.048
-65,2022-09-04 08:39:39.073
-60,2022-09-04 08:39:39.100
-64,2022-09-04 08:39:39.127
-64,2022-09-04 08:39:39.155
-60,2022-09-04 08:39:39.178
-63,2022-09-04 08:39:39.203
-64,2022-09-04 08:39:39.223
-64,2022-09-04 08:39:39.244
-64,2022-09-04 08:39:39.270
-60,2022-09-04 08:39:39.301
-63,2022-09-04 08:39:39.350
-63,2022-09-04 08:39:39.379
-63,2022-09-04 08:39:39.400
-60,2022-09-04 08:39:39.428
-64,2022-09-04 08:39:39.447
-64,2022-09-04 08:39:39.496
-67,2022-09-04 08:39:39.518
-59,2022-09-04 08:39:39.545
-63,2022-09-04 08:39:39.570
-59,2022-09-04 08:39:39.596
-63,2022-09-04 08:39:39.617
-63,2022-09-04 08:39:39.643
-63,2022-09-04 08:39:39.673
-58,2022-09-04 08:39:39.700
-58,2022-09-04 08:39:39.729
-63,2022-09-04 08:39:39.758
-58,2022-09-04 08:39:39.784
-63,2022-09-04 08:39:39.809
-58,2022-09-04 08:39:39.859
-63,2022-09-04 08:39:39.883
-58,2022-09-04 08:39:39.913
-63,2022-09-04 08:39:39.933
-63,2022-09-04 08:39:39.983
-62,2022-09-04 08:39:40.008
-63,2022-09-04 08:39:40.034
-63,2022-09-04 08:39:40.063
-63,2022-09-04 08:39:40.089
-63,2022-09-04 08:39:40.114
-63,2022-09-04 08:39:40.138
-58,2022-09-04 08:39:40.194
-63,2022-09-04 08:39:40.218
-58,2022-09-04 08:39:40.241
-58,2022-09-04 08:39:40.264
-63,2022-09-04 08:39:40.293
-63,2022-09-04 08:39:40.317
-58,2022-09-04 08:39:40.345
-63,2022-09-04 08:39:40.374
-58,2022-09-04 08:39:40.403
-63,2022-09-04 08:39:40.428
-58,2022-09-04 08:39:40.458
-58,2022-09-04 08:39:40.487
-62,2022-09-04 08:39:40.509
-62,2022-09-04 08:39:40.531
-63,2022-09-04 08:39:40.552
-62,2022-09-04 08:39:40.579
-62,2022-09-04 08:39:40.600
-58,2022-09-04 08:39:40.624
-62,2022-09-04 08:39:40.649
-62,2022-09-04 08:39:40.670
-58,2022-09-04 08:39:40.696
-61,2022-09-04 08:39:40.717
-57,2022-09-04 08:39:40.742
-61,2022-09-04 08:39:40.771
-62,2022-09-04 08:39:40.797
-57,2022-09-04 08:39:40.820
-58,2022-09-04 08:39:40.849
-58,2022-09-04 08:39:40.875
-58,2022-09-04 08:39:40.896
-63,2022-09-04 08:39:40.920
-63,2022-09-04 08:39:40.950
-63,2022-09-04 08:39:41.025
-58,2022-09-04 08:39:41.053
-62,2022-09-04 08:39:41.076
-62,2022-09-04 08:39:41.099
-63,2022-09-04 08:39:41.124
-58,2022-09-04 08:39:41.149
-63,2022-09-04 08:39:41.172
-58,2022-09-04 08:39:41.220
-63,2022-09-04 08:39:41.240
-62,2022-09-04 08:39:41.264
-62,2022-09-04 08:39:41.293
-61,2022-09-04 08:39:41.320
-62,2022-09-04 08:39:41.344
-62,2022-09-04 08:39:41.389
-58,2022-09-04 08:39:41.414
-63,2022-09-04 08:39:41.438
-59,2022-09-04 08:39:41.467
-63,2022-09-04 08:39:41.493
-63,2022-09-04 08:39:41.521
-58,2022-09-04 08:39:41.543
-63,2022-09-04 08:39:41.569
-58,2022-09-04 08:39:41.590
-58,2022-09-04 08:39:41.615
-63,2022-09-04 08:39:41.639
-63,2022-09-04 08:39:41.665
-58,2022-09-04 08:39:41.695
-59,2022-09-04 08:39:41.725
-60,2022-09-04 08:39:41.754
-65,2022-09-04 08:39:41.775
-65,2022-09-04 08:39:41.805
-60,2022-09-04 08:39:41.834
-60,2022-09-04 08:39:41.855
-65,2022-09-04 08:39:41.879
-60,2022-09-04 08:39:41.910
-63,2022-09-04 08:39:41.938
-63,2022-09-04 08:39:41.959
-64,2022-09-04 08:39:41.988
-63,2022-09-04 08:39:42.014
-64,2022-09-04 08:39:42.034
-63,2022-09-04 08:39:42.056
-64,2022-09-04 08:39:42.080
-60,2022-09-04 08:39:42.110
-60,2022-09-04 08:39:42.137
-62,2022-09-04 08:39:42.163
-64,2022-09-04 08:39:42.183
-62,2022-09-04 08:39:42.208
-64,2022-09-04 08:39:42.234
-62,2022-09-04 08:39:42.263
-60,2022-09-04 08:39:42.288
-60,2022-09-04 08:39:42.312
-62,2022-09-04 08:39:42.336
-62,2022-09-04 08:39:42.364
-64,2022-09-04 08:39:42.385
-62,2022-09-04 08:39:42.406
-62,2022-09-04 08:39:42.460
-62,2022-09-04 08:39:42.487
-60,2022-09-04 08:39:42.512
-62,2022-09-04 08:39:42.536
-64,2022-09-04 08:39:42.565
-64,2022-09-04 08:39:42.610
-62,2022-09-04 08:39:42.640
-64,2022-09-04 08:39:42.663
-61,2022-09-04 08:39:42.692
-63,2022-09-04 08:39:42.719
-61,2022-09-04 08:39:42.743
-62,2022-09-04 08:39:42.767
-63,2022-09-04 08:39:42.789
-61,2022-09-04 08:39:42.819
-61,2022-09-04 08:39:42.844
-61,2022-09-04 08:39:42.895
-64,2022-09-04 08:39:42.919
-62,2022-09-04 08:39:42.942
-61,2022-09-04 08:39:42.973
-64,2022-09-04 08:39:42.998
-62,2022-09-04 08:39:43.024
-61,2022-09-04 08:39:43.053
-65,2022-09-04 08:39:43.072
-64,2022-09-04 08:39:43.096
-60,2022-09-04 08:39:43.126
-60,2022-09-04 08:39:43.150
-62,2022-09-04 08:39:43.169
-62,2022-09-04 08:39:43.216
-60,2022-09-04 08:39:43.244
-64,2022-09-04 08:39:43.266
-60,2022-09-04 08:39:43.290
-62,2022-09-04 08:39:43.317
-60,2022-09-04 08:39:43.348
-64,2022-09-04 08:39:43.370
-60,2022-09-04 08:39:43.392
-60,2022-09-04 08:39:43.421
-62,2022-09-04 08:39:43.447
-60,2022-09-04 08:39:43.470
-63,2022-09-04 08:39:43.499
-63,2022-09-04 08:39:43.549
-63,2022-09-04 08:39:43.578
-60,2022-09-04 08:39:43.600
-63,2022-09-04 08:39:43.628
-62,2022-09-04 08:39:43.649
-65,2022-09-04 08:39:43.676
-60,2022-09-04 08:39:43.704
-63,2022-09-04 08:39:43.747
-60,2022-09-04 08:39:43.778
-63,2022-09-04 08:39:43.802
-60,2022-09-04 08:39:43.825
-60,2022-09-04 08:39:43.851
-60,2022-09-04 08:39:43.879
-62,2022-09-04 08:39:43.900
-62,2022-09-04 08:39:43.949
-60,2022-09-04 08:39:43.971
-63,2022-09-04 08:39:43.991
-62,2022-09-04 08:39:44.016
-62,2022-09-04 08:39:44.044
-60,2022-09-04 08:39:44.068
-62,2022-09-04 08:39:44.090
-60,2022-09-04 08:39:44.116
-62,2022-09-04 08:39:44.137
-60,2022-09-04 08:39:44.193
-63,2022-09-04 08:39:44.213
-60,2022-09-04 08:39:44.244
-60,2022-09-04 08:39:44.297
-61,2022-09-04 08:39:44.317
-63,2022-09-04 08:39:44.344
-61,2022-09-04 08:39:44.371
-63,2022-09-04 08:39:44.398
-60,2022-09-04 08:39:44.420
-60,2022-09-04 08:39:44.445
-61,2022-09-04 08:39:44.501
-60,2022-09-04 08:39:44.529
-63,2022-09-04 08:39:44.551
-63,2022-09-04 08:39:44.579
-60,2022-09-04 08:39:44.609
-61,2022-09-04 08:39:44.637
-63,2022-09-04 08:39:44.665
-62,2022-09-04 08:39:44.693
-60,2022-09-04 08:39:44.714
-63,2022-09-04 08:39:44.742
-60,2022-09-04 08:39:44.794
-63,2022-09-04 08:39:44.813
-61,2022-09-04 08:39:44.838
-60,2022-09-04 08:39:44.861
-61,2022-09-04 08:39:44.885
-61,2022-09-04 08:39:44.910
-63,2022-09-04 08:39:44.937
-60,2022-09-04 08:39:44.968
-61,2022-09-04 08:39:44.996
-63,2022-09-04 08:39:45.017
-63,2022-09-04 08:39:45.044
-61,2022-09-04 08:39:45.074
-58,2022-09-04 08:39:45.098
-63,2022-09-04 08:39:45.125
-63,2022-09-04 08:39:45.153
-64,2022-09-04 08:39:45.183
-61,2022-09-04 08:39:45.209
-61,2022-09-04 08:39:45.236
-63,2022-09-04 08:39:45.255
-65,2022-09-04 08:39:45.283
-64,2022-09-04 08:39:45.303
-57,2022-09-04 08:39:45.325
-66,2022-09-04 08:39:45.352
-61,2022-09-04 08:39:45.376
-61,2022-09-04 08:39:45.403
-65,2022-09-04 08:39:45.423
-61,2022-09-04 08:39:45.448
-61,2022-09-04 08:39:45.475
-58,2022-09-04 08:39:45.523
-64,2022-09-04 08:39:45.546
-58,2022-09-04 08:39:45.574
-61,2022-09-04 08:39:45.602
-61,2022-09-04 08:39:45.630
-58,2022-09-04 08:39:45.651
-65,2022-09-04 08:39:45.675
-61,2022-09-04 08:39:45.696
-63,2022-09-04 08:39:45.721
-58,2022-09-04 08:39:45.747
-61,2022-09-04 08:39:45.776
-62,2022-09-04 08:39:45.797
-61,2022-09-04 08:39:45.825
-65,2022-09-04 08:39:45.846
-58,2022-09-04 08:39:45.871
-58,2022-09-04 08:39:45.898
-64,2022-09-04 08:39:45.922
-58,2022-09-04 08:39:45.944
-64,2022-09-04 08:39:45.971
-61,2022-09-04 08:39:45.993
-63,2022-09-04 08:39:46.015
-58,2022-09-04 08:39:46.040
-61,2022-09-04 08:39:46.066
-64,2022-09-04 08:39:46.090
-58,2022-09-04 08:39:46.119
-57,2022-09-04 08:39:46.194
-61,2022-09-04 08:39:46.223
-64,2022-09-04 08:39:46.250
-57,2022-09-04 08:39:46.275
-63,2022-09-04 08:39:46.295
-61,2022-09-04 08:39:46.315
-63,2022-09-04 08:39:46.366
-63,2022-09-04 08:39:46.414
-57,2022-09-04 08:39:46.443
-61,2022-09-04 08:39:46.466
-63,2022-09-04 08:39:46.490
-57,2022-09-04 08:39:46.512
-61,2022-09-04 08:39:46.534
-57,2022-09-04 08:39:46.555
-57,2022-09-04 08:39:46.583
-61,2022-09-04 08:39:46.605
-57,2022-09-04 08:39:46.634
-61,2022-09-04 08:39:46.662
-61,2022-09-04 08:39:46.690
-58,2022-09-04 08:39:46.715
-61,2022-09-04 08:39:46.738
-63,2022-09-04 08:39:46.764
-61,2022-09-04 08:39:46.793
-63,2022-09-04 08:39:46.820
-61,2022-09-04 08:39:46.841
-61,2022-09-04 08:39:46.861
-57,2022-09-04 08:39:46.883
-58,2022-09-04 08:39:46.913
-57,2022-09-04 08:39:46.942
-57,2022-09-04 08:39:46.968
-57,2022-09-04 08:39:46.998
-63,2022-09-04 08:39:47.023
-57,2022-09-04 08:39:47.047
-63,2022-09-04 08:39:47.070
-58,2022-09-04 08:39:47.092
-58,2022-09-04 08:39:47.115
-63,2022-09-04 08:39:47.138
-61,2022-09-04 08:39:47.161
-65,2022-09-04 08:39:47.185
-61,2022-09-04 08:39:47.215
-63,2022-09-04 08:39:47.237
-57,2022-09-04 08:39:47.263
-63,2022-09-04 08:39:47.310
-61,2022-09-04 08:39:47.332
-63,2022-09-04 08:39:47.354
-57,2022-09-04 08:39:47.376
-61,2022-09-04 08:39:47.399
-63,2022-09-04 08:39:47.423
-61,2022-09-04 08:39:47.449
-61,2022-09-04 08:39:47.469
-57,2022-09-04 08:39:47.493
-57,2022-09-04 08:39:47.543
-57,2022-09-04 08:39:47.573
-61,2022-09-04 08:39:47.624
-61,2022-09-04 08:39:47.667
-63,2022-09-04 08:39:47.689
-57,2022-09-04 08:39:47.713
-61,2022-09-04 08:39:47.741
-57,2022-09-04 08:39:47.764
-61,2022-09-04 08:39:47.785
-62,2022-09-04 08:39:47.809
-63,2022-09-04 08:39:47.836
-61,2022-09-04 08:39:47.858
-58,2022-09-04 08:39:47.884
-63,2022-09-04 08:39:47.911
-63,2022-09-04 08:39:47.934
-58,2022-09-04 08:39:47.961
-61,2022-09-04 08:39:47.987
-61,2022-09-04 08:39:48.064
-63,2022-09-04 08:39:48.407
-64,2022-09-04 08:39:48.427
-61,2022-09-04 08:39:48.458
-61,2022-09-04 08:39:48.582
-57,2022-09-04 08:39:48.605
-61,2022-09-04 08:39:48.627
-63,2022-09-04 08:39:48.647
-62,2022-09-04 08:39:48.672
-61,2022-09-04 08:39:48.695
-61,2022-09-04 08:39:48.715
-63,2022-09-04 08:39:48.742
-57,2022-09-04 08:39:48.768
-61,2022-09-04 08:39:48.818
-61,2022-09-04 08:39:48.840
-57,2022-09-04 08:39:48.868
-61,2022-09-04 08:39:48.896
-61,2022-09-04 08:39:48.922
-63,2022-09-04 08:39:48.950
-57,2022-09-04 08:39:48.974
-57,2022-09-04 08:39:49.004
-63,2022-09-04 08:39:49.050
-61,2022-09-04 08:39:49.135
-61,2022-09-04 08:39:49.163
-63,2022-09-04 08:39:49.188
-61,2022-09-04 08:39:49.211
-61,2022-09-04 08:39:49.234
-61,2022-09-04 08:39:49.277
-61,2022-09-04 08:39:49.304
-61,2022-09-04 08:39:49.324
-63,2022-09-04 08:39:49.345
-61,2022-09-04 08:39:49.375
-61,2022-09-04 08:39:49.397
-58,2022-09-04 08:39:49.419
-58,2022-09-04 08:39:49.445
-63,2022-09-04 08:39:49.516
-61,2022-09-04 08:39:49.540
-61,2022-09-04 08:39:49.569
-58,2022-09-04 08:39:49.590
-58,2022-09-04 08:39:49.617
-61,2022-09-04 08:39:49.645
-63,2022-09-04 08:39:49.669
-61,2022-09-04 08:39:49.699
-58,2022-09-04 08:39:49.724
-61,2022-09-04 08:39:49.752
-58,2022-09-04 08:39:49.775
-61,2022-09-04 08:39:49.798
-61,2022-09-04 08:39:49.827
-61,2022-09-04 08:39:49.857
-63,2022-09-04 08:39:49.903
-58,2022-09-04 08:39:49.930
-61,2022-09-04 08:39:49.975
-61,2022-09-04 08:39:50.000
